File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF065MQK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR154GUK	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0001323	tibial nerve	tissue	Homo sapiens										POLR2A-human	DNA						2017-04-04	ENCODE			450-650	2	2_1							/files/ENCFF831GRF/, /files/ENCFF093RLC/, /files/ENCFF356LFX/	380718	ENCODE Processing Pipeline	0ea59b5c19b3f0010d48dfb4485210b8		https://www.encodeproject.org/files/ENCFF065MQK/@@download/ENCFF065MQK.bed.gz				released	s3://encode-public/2020/11/28/e5e70b66-8698-4800-807c-979542f7365f/ENCFF065MQK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/e5e70b66-8698-4800-807c-979542f7365f/ENCFF065MQK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF618BDP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR055WBT	TF ChIP-seq	/human-donors/ENCDO845WKR/	UBERON:0001150	body of pancreas	tissue	Homo sapiens										POLR2A-human	DNA						2016-11-07	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF883FQV/, /files/ENCFF348BZS/	639383	ENCODE Processing Pipeline	2279b9ae3af25e6b41b03c92cb5a60f2		https://www.encodeproject.org/files/ENCFF618BDP/@@download/ENCFF618BDP.bed.gz				released	s3://encode-public/2020/11/29/cd457da8-7b9a-4e73-ac0b-1b0fdc620c1b/ENCFF618BDP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/29/cd457da8-7b9a-4e73-ac0b-1b0fdc620c1b/ENCFF618BDP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking		
ENCFF151LHR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR911JAX	TF ChIP-seq	/human-donors/ENCDO845WKR/	UBERON:0002367	prostate gland	tissue	Homo sapiens										POLR2A-human	DNA						2016-11-29	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF130HMQ/, /files/ENCFF933EKM/	352053	ENCODE Processing Pipeline	233a509f37be3225457c48d472555f37		https://www.encodeproject.org/files/ENCFF151LHR/@@download/ENCFF151LHR.bed.gz				released	s3://encode-public/2020/12/01/787c15d7-c928-4d4e-b75f-ad971bb5940e/ENCFF151LHR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/787c15d7-c928-4d4e-b75f-ad971bb5940e/ENCFF151LHR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking		
ENCFF574UKD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR922GUA	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										POLR2A-human	DNA						2017-03-14	ENCODE			450-650	1	1_1							/files/ENCFF838UKO/, /files/ENCFF170CDW/, /files/ENCFF356LFX/	172594	ENCODE Processing Pipeline	6a1a61cacad17236a9aa827f7e821a7c		https://www.encodeproject.org/files/ENCFF574UKD/@@download/ENCFF574UKD.bed.gz				released	s3://encode-public/2020/12/01/790bf4c6-c76c-418d-ab68-5a64e3d2b74b/ENCFF574UKD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/790bf4c6-c76c-418d-ab68-5a64e3d2b74b/ENCFF574UKD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF175PDD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR935XOT	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0001323	tibial nerve	tissue	Homo sapiens										POLR2A-human	DNA						2017-04-04	ENCODE			450-650	1	1_1							/files/ENCFF365VEP/, /files/ENCFF712EEO/, /files/ENCFF356LFX/	175037	ENCODE Processing Pipeline	0a68a4aff294186cae2ed34bea1899ec		https://www.encodeproject.org/files/ENCFF175PDD/@@download/ENCFF175PDD.bed.gz				released	s3://encode-public/2020/12/01/5eacb147-3cd7-4d67-ac5a-7b9922a41ddf/ENCFF175PDD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/5eacb147-3cd7-4d67-ac5a-7b9922a41ddf/ENCFF175PDD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF555UBC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR304IVU	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0008367	breast epithelium	tissue	Homo sapiens										POLR2A-human	DNA						2016-10-25	ENCODE			450-650	1	1_1							/files/ENCFF475MAN/, /files/ENCFF356LFX/, /files/ENCFF695HHQ/	258416	ENCODE Processing Pipeline	f300d44930621a9208b9dcce2bb266dc		https://www.encodeproject.org/files/ENCFF555UBC/@@download/ENCFF555UBC.bed.gz				released	s3://encode-public/2020/11/28/8e9f11c0-2507-4fea-b14a-ef759518b116/ENCFF555UBC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/8e9f11c0-2507-4fea-b14a-ef759518b116/ENCFF555UBC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF558UJR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR122LGV	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0002367	prostate gland	tissue	Homo sapiens										POLR2A-human	DNA						2017-04-04	ENCODE			450-650	1	1_1							/files/ENCFF091YLG/, /files/ENCFF356LFX/, /files/ENCFF515BAD/	245993	ENCODE Processing Pipeline	413f13c0410fc33658215812da64cbab		https://www.encodeproject.org/files/ENCFF558UJR/@@download/ENCFF558UJR.bed.gz				released	s3://encode-public/2020/12/30/66321e4f-eef8-4b17-95fe-91ece51543fb/ENCFF558UJR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/30/66321e4f-eef8-4b17-95fe-91ece51543fb/ENCFF558UJR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF160KVW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR142SQX	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0000995	uterus	tissue	Homo sapiens										POLR2A-human	DNA						2016-12-08	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF169LKA/, /files/ENCFF648TKU/	388100	ENCODE Processing Pipeline	670f2a3e843c5933eb65435da1b7c76d		https://www.encodeproject.org/files/ENCFF160KVW/@@download/ENCFF160KVW.bed.gz				released	s3://encode-public/2020/11/28/71292d56-2fd9-4d60-900c-ac98e3e601f0/ENCFF160KVW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/71292d56-2fd9-4d60-900c-ac98e3e601f0/ENCFF160KVW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF322DAE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BHN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										POLR2A-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF069GAM/, /files/ENCFF102CMM/, /files/ENCFF356LFX/, /files/ENCFF595PNZ/	613359	ENCODE Processing Pipeline	6185fc7b7eef226c95744779b6ed977e		https://www.encodeproject.org/files/ENCFF322DAE/@@download/ENCFF322DAE.bed.gz				released	s3://encode-public/2020/12/11/62d5d26c-04d6-4264-a534-b56e73d0f557/ENCFF322DAE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/11/62d5d26c-04d6-4264-a534-b56e73d0f557/ENCFF322DAE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking		
ENCFF615EAT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR434MWV	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0000945	stomach	tissue	Homo sapiens										POLR2A-human	DNA						2016-07-06	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF774CGO/, /files/ENCFF880ATB/	6359	ENCODE Processing Pipeline	162c9146fc54e1afe08894fd99e33797		https://www.encodeproject.org/files/ENCFF615EAT/@@download/ENCFF615EAT.bed.gz				released	s3://encode-public/2020/12/04/9ef12af3-e163-4883-9ccc-8e9e26fc4068/ENCFF615EAT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/9ef12af3-e163-4883-9ccc-8e9e26fc4068/ENCFF615EAT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, control low read depth		
ENCFF880CLF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR038YKU	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0000945	stomach	tissue	Homo sapiens										POLR2A-human	DNA						2016-07-06	ENCODE			450-650	1	1_1							/files/ENCFF135UOF/, /files/ENCFF996ZLM/, /files/ENCFF356LFX/	96359	ENCODE Processing Pipeline	64eb19ef3714c65f1e79f3213a4c373f		https://www.encodeproject.org/files/ENCFF880CLF/@@download/ENCFF880CLF.bed.gz				released	s3://encode-public/2020/11/29/c78e5e0c-3f6f-409b-aec4-51539fccbe3a/ENCFF880CLF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/29/c78e5e0c-3f6f-409b-aec4-51539fccbe3a/ENCFF880CLF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF235UTX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DMT	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF797MVP/, /files/ENCFF819AYS/, /files/ENCFF696WBM/, /files/ENCFF356LFX/	394742	ENCODE Processing Pipeline	55759d4e2905e33bf7d56d0be9823916		https://www.encodeproject.org/files/ENCFF235UTX/@@download/ENCFF235UTX.bed.gz				released	s3://encode-public/2020/12/26/676ddbab-4f35-4a6a-8565-3df0d7e27cba/ENCFF235UTX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/676ddbab-4f35-4a6a-8565-3df0d7e27cba/ENCFF235UTX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length		
ENCFF673VSN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR147PYL	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										POLR2A-human	DNA						2017-04-04	ENCODE			450-650	1	1_1							/files/ENCFF216JSH/, /files/ENCFF534DTL/, /files/ENCFF356LFX/	426446	ENCODE Processing Pipeline	b1da170721ce4bc4025806c59ec2dfa3		https://www.encodeproject.org/files/ENCFF673VSN/@@download/ENCFF673VSN.bed.gz				released	s3://encode-public/2020/11/28/a3cbb205-2463-4a3b-846f-5b93412cb4d4/ENCFF673VSN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/a3cbb205-2463-4a3b-846f-5b93412cb4d4/ENCFF673VSN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF451XZC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR775VUA	TF ChIP-seq	/human-donors/ENCDO845WKR/	UBERON:0000945	stomach	tissue	Homo sapiens										POLR2A-human	DNA						2016-07-06	ENCODE			450-650	1	1_1							/files/ENCFF978SPZ/, /files/ENCFF356LFX/, /files/ENCFF950XOW/	887	ENCODE Processing Pipeline	91f30af528319184a92c14ed52e6caf3		https://www.encodeproject.org/files/ENCFF451XZC/@@download/ENCFF451XZC.bed.gz				released	s3://encode-public/2020/12/02/a2b91830-54ba-42f1-a236-303cdbead769/ENCFF451XZC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/02/a2b91830-54ba-42f1-a236-303cdbead769/ENCFF451XZC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF540RGI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR103UPR	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0011907	gastrocnemius medialis	tissue	Homo sapiens										POLR2A-human	DNA						2017-03-14	ENCODE			450-650	1	1_1							/files/ENCFF066GVT/, /files/ENCFF356LFX/, /files/ENCFF527FKN/	436684	ENCODE Processing Pipeline	da63faf793c140cc0d6a8d5f84bc8040		https://www.encodeproject.org/files/ENCFF540RGI/@@download/ENCFF540RGI.bed.gz				released	s3://encode-public/2020/11/29/6f50ec56-88ea-4525-b481-d3675be2b640/ENCFF540RGI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/29/6f50ec56-88ea-4525-b481-d3675be2b640/ENCFF540RGI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF371CYY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR336YRS	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0002084	heart left ventricle	tissue	Homo sapiens										POLR2A-human	DNA						2017-03-14	ENCODE			450-650	1	1_1							/files/ENCFF777VOE/, /files/ENCFF197TPN/, /files/ENCFF356LFX/	383205	ENCODE Processing Pipeline	9883e640b7f148fa2329566365877afc		https://www.encodeproject.org/files/ENCFF371CYY/@@download/ENCFF371CYY.bed.gz				released	s3://encode-public/2021/02/04/ff2ac07b-eabe-4f4d-80d1-5ac1a691b892/ENCFF371CYY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/ff2ac07b-eabe-4f4d-80d1-5ac1a691b892/ENCFF371CYY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
